[0.0242  Replica 0000]: Replica 0000 starting up
[0.0245  Replica 0000]: Sent hello message: {'src': '0000', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'hello'}
[0.0252  Replica 0001]: Replica 0001 starting up
[0.0254  Replica 0001]: Sent hello message: {'src': '0001', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'hello'}
[0.0259  Replica 0002]: Replica 0002 starting up
[0.0263  Replica 0002]: Sent hello message: {'src': '0002', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'hello'}
[0.0272  Replica 0003]: Replica 0003 starting up
[0.0285  Replica 0003]: Sent hello message: {'src': '0003', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'hello'}
[0.0289  Replica 0004]: Replica 0004 starting up
[0.0290  Replica 0004]: Sent hello message: {'src': '0004', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'hello'}
[0.3543  Replica 0000]: ************** Election timeout surpassed, starting election, elapsed time: 0.32290005683898926, election timeout: 0.292
[0.3543  Replica 0000]: Received message '{'src': '0001', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3546  Replica 0001]: ************** Election timeout surpassed, starting election, elapsed time: 0.3218557834625244, election timeout: 0.312
[0.3546  Replica 0001]: Received message '{'src': '0000', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3546  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}
[0.3546  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}'
[0.3548  Replica 0002]: Received message '{'src': '0000', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3549  Replica 0002]: converting to follower, since incoming term > my term, term number 1
[0.3549  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}
[0.3549  Replica 0002]: Received message '{'src': '0001', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3551  Replica 0003]: Received message '{'src': '0000', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3551  Replica 0003]: converting to follower, since incoming term > my term, term number 1
[0.3551  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}
[0.3551  Replica 0003]: Received message '{'src': '0001', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3555  Replica 0004]: Received message '{'src': '0000', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3555  Replica 0004]: converting to follower, since incoming term > my term, term number 1
[0.3555  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}
[0.3555  Replica 0004]: Received message '{'src': '0001', 'dst': 'FFFF', 'leader': 'FFFF', 'type': 'request_vote', 'term': 1, 'lastLogIndex': 0, 'lastLogTerm': 0}'
[0.3558  Replica 0000]: sending: {'src': '0000', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}
[0.3558  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}'
[0.3558  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}'
[0.3558  Replica 0000]: current vote count: 2
[0.3558  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}'
[0.3584  Replica 0000]: current vote count: 3
[0.3584  Replica 0000]: Election over, I'm the Leader
[0.3585  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': True}'
[0.3587  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}'
[0.3587  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}
[0.3588  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.3588  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.3588  Replica 0001]: Received message '{'src': '0002', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}'
[0.3588  Replica 0001]: Received message '{'src': '0003', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}'
[0.3588  Replica 0001]: Received message '{'src': '0004', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}'
[0.3590  Replica 0004]: sending: {'src': '0004', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}
[0.3590  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}'
[0.3593  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.3598  Replica 0002]: sending: {'src': '0002', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}
[0.3598  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}'
[0.3598  Replica 0003]: sending: {'src': '0003', 'dst': '0001', 'leader': 'FFFF', 'type': 'vote_response', 'term': 1, 'voting_for_you': False}
[0.3598  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}'
[0.3598  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.3601  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.3602  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.5285  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.5293  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}
[0.5293  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.5294  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.5294  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.5296  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}
[0.5303  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.5303  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.5303  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.5303  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'leader': '0000', 'type': 'append_entries', 'prevLogIndex': 1, 'prevLogTerm': 1, 'leaderCommit': 0, 'term': 1, 'entries': []}
[0.5303  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.5303  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.5303  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.5310  Replica 0000]: Sending following batch of entries: []
[0.5311  Replica 0000]: Sending following batch of entries: []
[0.5311  Replica 0000]: Sending following batch of entries: []
[0.5311  Replica 0000]: Sending following batch of entries: []
[0.5311  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.5311  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.5314  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.5315  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.6951  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.6951  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.6951  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.6951  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.6956  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.6956  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.6956  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.6956  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.6957  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.6957  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.6957  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.6957  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.6959  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.6959  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.6959  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.6959  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.6960  Replica 0000]: Sending following batch of entries: []
[0.6960  Replica 0000]: Sending following batch of entries: []
[0.6960  Replica 0000]: Sending following batch of entries: []
[0.6960  Replica 0000]: Sending following batch of entries: []
[0.6960  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.6960  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.6960  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.6961  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.8608  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.8608  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.8608  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.8608  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.8612  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.8612  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.8612  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.8612  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.8613  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.8613  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.8613  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.8613  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.8614  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[0.8614  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[0.8614  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[0.8614  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[0.8615  Replica 0000]: Sending following batch of entries: []
[0.8615  Replica 0000]: Sending following batch of entries: []
[0.8615  Replica 0000]: Sending following batch of entries: []
[0.8615  Replica 0000]: Sending following batch of entries: []
[0.8615  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.8615  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.8617  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[0.8617  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.0264  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.0264  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.0264  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.0264  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.0273  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.0273  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.0273  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.0273  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.0273  Replica 0000]: Sending following batch of entries: []
[1.0273  Replica 0000]: Sending following batch of entries: []
[1.0273  Replica 0000]: Sending following batch of entries: []
[1.0273  Replica 0000]: Sending following batch of entries: []
[1.0273  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[1.0274  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.0274  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.0274  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.0274  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.0274  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[1.0274  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[1.0274  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[1.0274  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[1.0274  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
